zcta5,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all
12302,11061,1.9,2.1,5.8,7.1,10.3,14.0,14.3,21.9,11.5,11.1,89468,107087,27389,98.0,80.5,34.7,2.0,3.0,4.8
12303,11740,3.6,4.6,7.2,8.5,8.7,15.6,12.4,21.2,8.5,9.5,77917,99116,29431,95.4,70.7,39.7,4.6,9.7,12.5
12304,8715,7.4,5.4,8.7,5.9,13.1,19.1,13.8,13.4,6.8,6.5,63349,81948,21699,95.5,58.3,52.0,4.5,15.6,19.5
12305,3445,6.9,7.8,13.1,12.4,8.5,19.5,11.9,15.3,2.8,1.9,50945,63324,6704,94.9,66.0,36.7,5.1,6.9,18.3
12306,11109,2.4,2.9,5.5,5.7,11.7,18.2,20.2,17.2,10.1,6.1,80207,93495,27715,96.2,74.6,38.4,3.8,5.6,7.8
12307,3145,16.4,17.8,12.4,13.0,9.1,18.3,4.5,6.2,1.6,0.7,31571,43764,7863,84.9,35.0,59.5,15.1,23.6,33.5
12308,5938,7.5,5.8,8.4,7.9,14.2,21.4,8.0,14.5,7.6,4.6,56156,81715,14286,95.9,63.4,43.6,4.1,11.9,17.8
12309,12675,1.9,0.9,2.6,2.5,6.3,13.3,12.3,24.3,17.1,18.8,119268,139107,33060,99.2,86.9,27.8,0.8,2.3,3.6
12401,14860,7.3,5.7,7.6,7.6,11.9,16.3,11.2,15.7,6.5,10.2,65289,89522,34765,93.1,59.0,46.9,6.9,11.7,16.9
12404,1591,6.4,5.4,12.7,3.2,6.4,16.7,8.5,19.7,10.6,10.2,71851,106495,3864,97.6,60.7,46.2,2.4,17.8,19.0
12405,235,8.9,5.1,17.0,0.0,6.8,13.6,11.9,23.4,5.5,7.7,64583,88665,550,100.0,71.3,46.5,0.0,6.7,14.4
12406,298,21.5,0.0,0.0,3.4,0.0,58.1,5.7,1.0,1.0,9.4,62813,111220,590,92.2,71.5,50.0,7.8,0.0,13.7
12407,43,0.0,0.0,14.0,0.0,18.6,20.9,11.6,18.6,7.0,9.3,61875,91453,132,72.7,53.0,32.6,27.3,0.0,6.1
12409,415,8.2,0.0,2.7,1.9,0.0,21.2,8.2,29.4,6.3,22.2,107723,133433,958,97.6,81.2,39.0,2.4,3.6,6.8
12410,219,35.2,0.0,14.6,15.5,11.9,9.6,0.0,5.0,6.8,1.4,27548,43023,329,78.1,50.8,40.4,21.9,52.4,44.1
12411,181,0.0,0.0,8.8,5.0,22.7,11.0,24.3,19.9,3.9,4.4,75592,79162,377,95.8,60.7,46.7,4.2,0.0,2.5
12412,248,5.6,0.0,10.1,10.5,16.5,8.9,24.6,12.5,5.2,6.0,64286,76757,537,88.1,44.7,61.8,11.9,8.6,9.1
12413,1249,1.9,7.4,11.4,7.1,18.2,17.0,17.0,10.5,5.2,4.3,56758,82041,3144,95.2,47.7,57.0,4.8,10.0,11.4
12414,4277,4.2,4.7,8.0,10.7,14.0,17.4,13.6,14.4,5.8,7.2,62665,81760,9790,96.9,63.9,49.0,3.1,8.1,12.1
12416,135,0.0,0.0,6.7,46.7,11.1,0.0,0.0,21.5,0.0,14.1,-,102665,205,95.1,65.9,49.3,4.9,0.0,0.0
12417,376,0.0,1.1,13.3,4.8,6.4,5.6,9.6,33.8,1.6,23.9,120865,123669,873,93.2,75.0,37.9,6.8,0.0,0.5
12418,120,0.0,7.5,0.8,0.0,18.3,26.7,10.8,23.3,5.0,7.5,73000,121603,294,100.0,84.4,35.7,0.0,0.0,6.1
12419,351,0.0,0.0,5.7,12.0,19.4,7.7,7.1,16.8,16.0,15.4,95469,146166,881,96.7,64.8,43.4,3.3,0.0,5.1
12420,93,0.0,0.0,0.0,0.0,10.8,0.0,19.4,69.9,0.0,0.0,113229,104845,351,100.0,94.9,10.3,0.0,0.0,0.0
12421,114,5.3,0.0,0.0,0.0,7.9,21.1,48.2,0.0,7.0,10.5,85625,119382,224,100.0,47.8,67.0,0.0,0.0,2.7
12422,185,0.0,17.8,3.2,14.1,7.6,19.5,5.4,24.3,0.0,8.1,53906,77754,398,73.1,51.3,34.7,26.9,24.0,18.1
12423,462,12.1,3.9,9.7,5.4,4.3,19.7,22.7,18.0,3.7,0.4,66500,67219,1255,86.0,60.7,36.9,14.0,19.7,17.8
12424,155,0.0,1.9,6.5,7.7,20.6,32.3,20.0,11.0,0.0,0.0,59550,64263,261,92.3,68.2,65.5,7.7,0.0,1.3
12427,133,0.0,0.0,7.5,0.0,0.0,43.6,10.5,25.6,12.8,0.0,72279,96020,1025,100.0,69.1,56.9,0.0,0.0,19.8
12428,2852,6.0,10.0,13.6,3.7,7.8,12.6,8.3,28.4,6.0,3.7,70645,80172,7025,97.2,64.6,45.6,2.8,11.0,22.6
12429,49,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-,N,153,32.0,32.0,0.0,68.0,-,68.0
12430,560,1.6,0.4,15.7,3.8,7.9,30.7,10.0,14.3,8.0,7.7,62071,84308,1341,92.2,58.9,44.1,7.8,17.5,17.3
12431,709,0.0,2.1,3.0,17.5,3.8,13.7,18.6,22.4,7.2,11.7,83688,100240,1845,99.2,74.0,37.1,0.8,0.0,2.0
12432,279,0.0,0.0,9.7,17.2,47.3,10.4,0.0,15.4,0.0,0.0,43104,54552,581,95.0,46.5,78.3,5.0,29.4,36.5
12433,265,3.0,0.0,23.8,4.9,3.4,29.1,11.7,14.7,1.9,7.5,60707,78775,628,100.0,49.4,71.0,0.0,16.0,21.0
12434,439,6.6,7.1,15.0,4.8,19.6,9.3,15.0,12.3,0.0,10.3,46612,81181,984,100.0,69.6,53.8,0.0,3.6,8.2
12435,82,11.0,0.0,0.0,0.0,14.6,0.0,51.2,17.1,0.0,6.1,81786,85424,231,100.0,45.9,70.1,0.0,0.0,6.5
12436,241,24.9,0.0,12.4,0.0,9.5,4.6,0.0,48.5,0.0,0.0,-,76717,430,100.0,64.2,79.5,0.0,0.0,14.0
12438,15,0.0,0.0,46.7,0.0,0.0,0.0,53.3,0.0,0.0,0.0,-,N,48,83.3,68.8,29.2,16.7,46.7,45.8
